CMT1-results	1
candidate_durability=D1 ordinary writes, no fsync, no crash-survival claim
engine_durability=legacy Memory@2; journal off; insert/replace/delete log sync_data; mmap access_count update without per-op flush; not equivalent to D1; no power-loss claim
engine=legacy Memory@2; journal off; insert/replace/delete log sync_data; mmap access_count update without per-op flush; not equivalent to D1; no power-loss claim; rev=abda0a7e94a9727e410001e9724edc741f6e0d31; mode=Single; batch_width=1
valid=true
legacy_internal_stages=unavailable through public adapter; no isolated append/replay/decode/row/column timing
quantiles=nearest-rank; warmup excluded; raw samples in results.cmt and trials.csv
stage,count,min,p50,p90,p95,p99,max
aggregate,25,5800,19700,21400,21900,23700,23700
delete,10000,1371600,3511800,5520500,6233600,7649200,22671400
equal,25,245700,323300,354400,360600,386900,386900
get,25,8300,11200,18100,20600,25300,25300
guard,30000,3500,2534200,5206700,5793100,7253800,38079200
insert,15000,1495900,3087900,5823300,6526000,8204800,23185100
page,50,5300,8700,11600,13800,16500,16500
replace,10000,1346200,3559900,5572100,6207000,7624800,19057400
update,10000,1200,5500,7100,8200,11000,69300
