phase,index,stage,ns,store_logical_bytes,peak_rss,valid
warmup,0,aggregate,260300,119160295,"584609792",true
warmup,0,append,523317800,119160295,"584609792",true
warmup,0,checkpoint,531556600,119160295,"584609792",true
warmup,0,columns,24081500,119160295,"584609792",true
warmup,0,complete_operations,2710808000,119160295,"584609792",true
warmup,0,decode,750054700,119160295,"584609792",true
warmup,0,delete,102086000,119160295,"584609792",true
warmup,0,equal,16326400,119160295,"584609792",true
warmup,0,get,10600,119160295,"584609792",true
warmup,0,guard,1111079800,119160295,"584609792",true
warmup,0,insert,797685900,119160295,"584609792",true
warmup,0,open_from_checkpoint,1777401700,119160295,"584609792",true
warmup,0,page,20523500,119160295,"584609792",true
warmup,0,replace,550030000,119160295,"584609792",true
warmup,0,replay,792695300,119160295,"584609792",true
warmup,0,rows,18361900,119160295,"584609792",true
warmup,0,setup,2268600,119160295,"584609792",true
warmup,0,update,112805500,119160295,"584609792",true
measured,1,aggregate,356300,119160295,"585793536",true
measured,1,append,673321600,119160295,"585793536",true
measured,1,checkpoint,553568500,119160295,"585793536",true
measured,1,columns,21536800,119160295,"585793536",true
measured,1,complete_operations,3401532600,119160295,"585793536",true
measured,1,decode,758548600,119160295,"585793536",true
measured,1,delete,133668800,119160295,"585793536",true
measured,1,equal,11420700,119160295,"585793536",true
measured,1,get,8800,119160295,"585793536",true
measured,1,guard,1413645300,119160295,"585793536",true
measured,1,insert,997160000,119160295,"585793536",true
measured,1,open_from_checkpoint,1806713600,119160295,"585793536",true
measured,1,page,23137100,119160295,"585793536",true
measured,1,replace,677491500,119160295,"585793536",true
measured,1,replay,910474400,119160295,"585793536",true
measured,1,rows,18868300,119160295,"585793536",true
measured,1,setup,3896000,119160295,"585793536",true
measured,1,update,144644100,119160295,"585793536",true
measured,2,aggregate,244800,119160295,"588378112",true
measured,2,append,514458500,119160295,"588378112",true
measured,2,checkpoint,567721300,119160295,"588378112",true
measured,2,columns,24356100,119160295,"588378112",true
measured,2,complete_operations,2754025900,119160295,"588378112",true
measured,2,decode,872033500,119160295,"588378112",true
measured,2,delete,101766700,119160295,"588378112",true
measured,2,equal,8832700,119160295,"588378112",true
measured,2,get,7500,119160295,"588378112",true
measured,2,guard,1124794600,119160295,"588378112",true
measured,2,insert,829396400,119160295,"588378112",true
measured,2,open_from_checkpoint,1924168300,119160295,"588378112",true
measured,2,page,17587300,119160295,"588378112",true
measured,2,replace,558013200,119160295,"588378112",true
measured,2,replay,964698700,119160295,"588378112",true
measured,2,rows,18412600,119160295,"588378112",true
measured,2,setup,2186800,119160295,"588378112",true
measured,2,update,113382700,119160295,"588378112",true
measured,3,aggregate,320600,119160295,"588537856",true
measured,3,append,565350900,119160295,"588537856",true
measured,3,checkpoint,574829100,119160295,"588537856",true
measured,3,columns,40522600,119160295,"588537856",true
measured,3,complete_operations,2956433300,119160295,"588537856",true
measured,3,decode,1009871800,119160295,"588537856",true
measured,3,delete,113300700,119160295,"588537856",true
measured,3,equal,10797800,119160295,"588537856",true
measured,3,get,8400,119160295,"588537856",true
measured,3,guard,1202556400,119160295,"588537856",true
measured,3,insert,885349800,119160295,"588537856",true
measured,3,open_from_checkpoint,1799107200,119160295,"588537856",true
measured,3,page,19797900,119160295,"588537856",true
measured,3,replace,598437600,119160295,"588537856",true
measured,3,replay,950314900,119160295,"588537856",true
measured,3,rows,23025300,119160295,"588537856",true
measured,3,setup,2531000,119160295,"588537856",true
measured,3,update,125864100,119160295,"588537856",true
measured,4,aggregate,282300,119160295,"589447168",true
measured,4,append,502193000,119160295,"589447168",true
measured,4,checkpoint,534415400,119160295,"589447168",true
measured,4,columns,20280700,119160295,"589447168",true
measured,4,complete_operations,2712404200,119160295,"589447168",true
measured,4,decode,776485300,119160295,"589447168",true
measured,4,delete,102616800,119160295,"589447168",true
measured,4,equal,9521100,119160295,"589447168",true
measured,4,get,8500,119160295,"589447168",true
measured,4,guard,1112938100,119160295,"589447168",true
measured,4,insert,802654600,119160295,"589447168",true
measured,4,open_from_checkpoint,1774488000,119160295,"589447168",true
measured,4,page,25069700,119160295,"589447168",true
measured,4,replace,546617800,119160295,"589447168",true
measured,4,replay,831847300,119160295,"589447168",true
measured,4,rows,18953100,119160295,"589447168",true
measured,4,setup,3228300,119160295,"589447168",true
measured,4,update,112695300,119160295,"589447168",true
measured,5,aggregate,304900,119160295,"589721600",true
measured,5,append,499892400,119160295,"589721600",true
measured,5,checkpoint,542620800,119160295,"589721600",true
measured,5,columns,32702000,119160295,"589721600",true
measured,5,complete_operations,2786883700,119160295,"589721600",true
measured,5,decode,803389300,119160295,"589721600",true
measured,5,delete,102701700,119160295,"589721600",true
measured,5,equal,9015200,119160295,"589721600",true
measured,5,get,11500,119160295,"589721600",true
measured,5,guard,1137546700,119160295,"589721600",true
measured,5,insert,831367300,119160295,"589721600",true
measured,5,open_from_checkpoint,1760475100,119160295,"589721600",true
measured,5,page,24158700,119160295,"589721600",true
measured,5,replace,567510100,119160295,"589721600",true
measured,5,replay,868589400,119160295,"589721600",true
measured,5,rows,16977700,119160295,"589721600",true
measured,5,setup,2665900,119160295,"589721600",true
measured,5,update,114267600,119160295,"589721600",true
