phase,index,stage,ns,store_logical_bytes,peak_rss,valid
warmup,0,aggregate,11620000,1189330106,"5456650240",true
warmup,0,append,399469109000,1189330106,"5456650240",true
warmup,0,checkpoint,4952130900,1189330106,"5456650240",true
warmup,0,columns,339974900,1189330106,"5456650240",true
warmup,0,complete_operations,496950458800,1189330106,"5456650240",true
warmup,0,decode,7987128300,1189330106,"5456650240",true
warmup,0,delete,71903862000,1189330106,"5456650240",true
warmup,0,equal,626623200,1189330106,"5456650240",true
warmup,0,get,57500,1189330106,"5456650240",true
warmup,0,guard,156960164500,1189330106,"5456650240",true
warmup,0,insert,112964603500,1189330106,"5456650240",true
warmup,0,open_from_checkpoint,41226586100,1189330106,"5456650240",true
warmup,0,page,1522745100,1189330106,"5456650240",true
warmup,0,replace,79583009700,1189330106,"5456650240",true
warmup,0,replay,35093100600,1189330106,"5456650240",true
warmup,0,rows,188775800,1189330106,"5456650240",true
warmup,0,setup,3000100,1189330106,"5456650240",true
warmup,0,update,73377773300,1189330106,"5456650240",true
measured,1,aggregate,10961800,1189330106,"5467545600",true
measured,1,append,392424327900,1189330106,"5467545600",true
measured,1,checkpoint,4849245200,1189330106,"5467545600",true
measured,1,columns,296665200,1189330106,"5467545600",true
measured,1,complete_operations,470854058100,1189330106,"5467545600",true
measured,1,decode,7410401500,1189330106,"5467545600",true
measured,1,delete,69253934700,1189330106,"5467545600",true
measured,1,equal,603469100,1189330106,"5467545600",true
measured,1,get,45700,1189330106,"5467545600",true
measured,1,guard,147350717800,1189330106,"5467545600",true
measured,1,insert,108145450000,1189330106,"5467545600",true
measured,1,open_from_checkpoint,40304135800,1189330106,"5467545600",true
measured,1,page,1459448800,1189330106,"5467545600",true
measured,1,replace,74916953400,1189330106,"5467545600",true
measured,1,replay,32805952900,1189330106,"5467545600",true
measured,1,rows,183650100,1189330106,"5467545600",true
measured,1,setup,2556500,1189330106,"5467545600",true
measured,1,update,69113076800,1189330106,"5467545600",true
measured,2,aggregate,10789900,1189330106,"5884084224",true
measured,2,append,395975184900,1189330106,"5884084224",true
measured,2,checkpoint,5258802400,1189330106,"5884084224",true
measured,2,columns,299842700,1189330106,"5884084224",true
measured,2,complete_operations,477364911700,1189330106,"5884084224",true
measured,2,decode,7610002400,1189330106,"5884084224",true
measured,2,delete,70053183200,1189330106,"5884084224",true
measured,2,equal,609259600,1189330106,"5884084224",true
measured,2,get,40700,1189330106,"5884084224",true
measured,2,guard,149905454700,1189330106,"5884084224",true
measured,2,insert,109288967900,1189330106,"5884084224",true
measured,2,open_from_checkpoint,41768654000,1189330106,"5884084224",true
measured,2,page,1453170800,1189330106,"5884084224",true
measured,2,replace,75882044400,1189330106,"5884084224",true
measured,2,replay,34773378800,1189330106,"5884084224",true
